ime,datum
Tamas Hommonay,02.01.1926
John Vincent Powell,02.11.1910
Feta Ahamada,24.06.1987
Juri Tarmak,21.07.1946
Jack Oosterlaak,15.01.1896
Tekeste Mitiku,09.11.1961
Shanahan Sanitoa,26.07.1989
Efim Motpan,10.02.1971
Harwant Kaur,05.07.1980
Jose Antonio Gonzalez,15.06.1976
Allison Randall,25.02.1988
Chand Nil Lal,19.07.1928
Mary Onyali,03.02.1968
Muhammad Nawaz,15.08.1924
Vladimir Panteley,03.05.1945
Colin Griffin 1,03.08.1982
Andreas Bube,13.07.1987
Steffi Nerius,01.07.1972
Redzep Selman,08.04.1986
Jakub Bogdan Jelonek,07.07.1985
Alberto Sensini,
Ludwig Muller,25.01.1932
Chantal Rega,07.08.1955
Tatyana Kurochkina,15.10.1966
Oleksiy Krykun,12.12.1968
Juan Carlos Romero,15.12.1977
Carline Muir,01.10.1987
Roxana Diaz,17.05.1981
Xenia Krizsan,13.01.1993
Boris Khrolovich,16.04.1936
Margarita Hernandez,03.12.1985
Cedric Houssaye,13.12.1979
Widad Mendil,12.05.1983
Mwenze Kalombo,07.06.1968
Antonio Ambu,10.05.1936
Carl Jahnzon,29.04.1881
Sven Krokstrom,02.05.1895
Domingos Castro,22.11.1963
Franka Dietzsch,22.01.1968
William Verner,24.06.1883
Linus Thornblad,06.03.1985
Andres Diaz,12.07.1969
Nikolay Chavkin,24.04.1984
Walter Kruger,11.04.1930
Jared Ward,09.09.1988
Robert Backus,11.07.1926
Wilma Arizapana,01.10.1982
Dedee Nathan,20.04.1968
Essa Ismail Rashed,14.12.1986
Maor Tiyouri,13.08.1990
Zahra Bani,31.12.1979
Nadjim Manseur,08.06.1988
Salima El Ouali Alami,23.12.1983
Maria Sarria Diaz,14.09.1954
August Emanuel Sorensen,15.11.1896
Chia Ying Lin,05.11.1982
Otto Rohr,22.11.1891
Kathy Butler 1,22.10.1973
Liliana Nastase,01.08.1962
Viola Jelagat Kibiwot,22.12.1983
Belisario Villacis,01.01.1899
Elzbieta Krzesinska,11.11.1934
Lorraine Baker,09.04.1964
Lev Lobodyn,01.04.1969
Chiemi Takahashi,16.02.1976
Yvonne Danson,22.05.1959
Joseph Hopkins,19.02.1902
Eloi Schleder,26.07.1951
Branko Kallay,
Gerardo Bonnhoff,24.06.1926
Amira Prasad Yadav,13.07.1959
Erik Gunnar Simonsen,05.08.1915
Stanley Joseph Wudyka,13.03.1910
Yarisley Silva,01.06.1987
Tendai Chimusasa,28.01.1971
Svetlana Usovich,14.10.1980
L J Van Zyl,20.07.1985
Adrian Proteasa,01.03.1959
Fabrizio Mori,28.06.1969
Luis Oliva,21.06.1908
Barbara Pierre,28.04.1986
Reindert Johannes Brasser,20.11.1912
Chanom Sirirangsri,12.03.1935
Ben Blankenship,15.12.1988
Ralph Rose,17.03.1885
Rachid Kisri,02.08.1975
Micheline Ostermeyer,23.12.1922
Alexandra Tavernier,13.12.1993
Omar Juma Al Salfa,15.10.1989
Erna Steinberg,30.06.1911
Dwayne Eugene Evans,13.10.1958
William Welles Hoyt,07.05.1875
Danny Mcfarlane,14.06.1972
Fulgence Rwabu,23.11.1947
Katharine Merry,21.09.1974
Amy Rudolph,18.09.1973
Mohammed Amer Al Malky,01.12.1962
Luis Feiteira,21.04.1973
Jip Vastenburg,21.03.1994
Ahmet Altun,25.01.1958
Eelco Sintnicolaas,07.04.1987
Carroll Barse Haff,19.02.1892
Danilo Goffi,03.12.1972
Ruslan Abbasov,24.06.1986
Hannes Koch,12.02.1926
Niina Kelo,26.03.1980
Tadeusz Janczenko,09.01.1946
Henri Kristian Thorsen,19.10.1893
Odayne Richards,14.12.1988
Jean Proess,
Roland Nilsson 1,13.09.1948
Angela Elizabeth Thacker,27.06.1964
Megumi Tanaka,04.09.1975
Olga Gere,27.09.1942
Vadim Hranovschi,14.02.1983
Gonzalo Barroilhet,19.08.1986
Danny Krasnov,25.05.1970
Valentina Gotovska,03.09.1965
Oscar Blansaer,
Vivian Coralie,11.03.1962
Merja Korpela,15.05.1981
Nikolaos Polias,28.03.1971
Elana Meyer,10.10.1966
Sergii Dymchenko,23.08.1967
Paavo Jaale Johansson,21.10.1895
Anier Boue,03.04.1984
Miroslav Sustera,15.03.1878
Frigyes Mezei,26.09.1887
Nastassia Ivanova,04.11.1982
Hannes Kirchler,22.12.1978
Spyridon Andriopoulos,01.08.1962
Michael Fietz,13.11.1967
Rico Freimuth,14.03.1988
Nadezhda Yakubovich,23.02.1954
Lyubov Gurina,06.08.1957
Daniel Victor Johansen,02.04.1885
Sheila Echols,02.10.1964
Josef Imbach,15.12.1894
Muna Gabir,06.01.1987
Josef Prorok,16.11.1987
Sabine Busch,21.11.1962
Artur Kozlowski,19.01.1985
Jack Howard,21.07.1981
Chunfeng Min,17.03.1969
Joseph Wells,22.12.1965
Earl Thomson,15.02.1895
Keith Connor,16.09.1957
Karl Hahnel,11.10.1892
Seilala Sua,25.02.1978
Jurgen Schult,11.05.1960
James Walker 3,18.08.1954
Dietrich Dieter Urbach,02.02.1935
Reza Ghasemi,24.07.1987
Alice Timbilil,16.06.1983
Alexandre Guyodo,19.06.1922
Annette Rogers,22.10.1913
Lawrence A Walker,30.12.1948
Archibald J San Romani,17.09.1912
Wilson Kiprop,14.04.1987
Shirley Gordon Olafsson,30.11.1926
Nicole Boegman,05.03.1967
Crystal Emmanuel,27.11.1991
Jacques Accambray,23.05.1950
Paul Pollock,25.06.1986
Jefferson Sabino,04.11.1982
Mi Ok Lee 1,10.03.1958
Margrethe Renstrom,21.03.1985
A B Mole,
Anthony Rogers,30.04.1957
Clodoaldo Lopes Do Carmo,27.04.1968
Sandor Iharos,10.03.1930
Yukiko Akaba,18.10.1979
Freya Murray,20.09.1983
Marc Burns,07.01.1983
Gustav Betzen,14.01.1886
Jalal Kesmiri,25.03.1939
Arne Roald Risa,05.05.1944
Suzanne Rigg,29.11.1963
Jarrod Bannister,03.10.1984
Manuel Pancorbo,07.07.1966
Giuseppe Bernardoni,
Brigitte Merlano,29.04.1982
Kennedy Kane Mcarthur,10.02.1882
Mensser Saleh,
Chung Sik Choi,19.09.1931
Diane Guthrie Gresham,24.10.1971
Dave Sime,25.07.1936
Bun Hui Jo,29.11.1979
Richard John Emberger,03.07.1938
Corsino Fernandez,12.11.1920
Meryem Erdogan,24.04.1990
John Henry Potts,17.09.1906
Florent Caelen,01.03.1989
Anthonique Strachan,22.08.1993
Haiqiang Huang,08.02.1988
Dereje Nedi,10.10.1955
Pedro Daniel Gomez,31.12.1990
Harold Muller,11.06.1901
Tomas Janku,27.12.1974
Yuri Zorin,04.09.1947
Jose Garcia 2,
Ivan Garcia,29.02.1972
Hernan Barreneche,25.07.1939
Charlie Gruber,08.08.1978
Lionel Charles R Billas,03.02.1929
Greg Haughton,10.11.1973
Enrique Figuerola,15.07.1938
Peter Mullins,09.07.1926
Malcolm Svensson,25.10.1885
Soufiane Elbakkali,07.01.1996
Johanna Jackson,17.01.1985
Floyd Simmons,10.04.1923
Lauren Wells,03.08.1988
Peter Petrov,17.02.1955
Calvin Dallas 1,02.04.1952
Carol Therese Cady,06.06.1962
Fokasi Wilbrod,04.05.1970
John Thomas,03.03.1941
Selim Bayrak,30.11.1987
Armand Parmentier,15.02.1954
Werner Schildhauer,05.06.1959
Julius Gitahi,29.04.1978
Tim Broe,20.06.1977
Stephane Franke,12.02.1965
Leo Sexton,27.08.1909
Michele Didoni,07.03.1974
Aida Dos Santos,01.03.1937
Anna Hahner,20.11.1989
Daniela Cirlan,18.09.1980
Odelmye Palma,18.12.1971
Fumiko Ito,05.03.1940
Saul Weigopwa,14.06.1984
Larysa Necheporuk,24.12.1970
Phillip Kipyeko,01.01.1995
Irina Mikitenko,23.08.1972
Lucien Leon Duquesne,17.10.1900
Gennadi Bliznetsov,06.01.1941
Arnie David Girat,26.08.1984
Robert Ruffini,26.01.1967
Aleksey Zagornyi,31.05.1978
Michael Johnson,13.09.1967
Abel Kirui,06.04.1982
Leslie Djhone,18.03.1981
Pamela Ryan,12.08.1939
Liping Wang 1,08.07.1976
Willie Davenport,08.06.1943
Brian Hooper,18.05.1953
Cathy Freeman,16.02.1973
Paula Mollenhauer,22.12.1908
Marilu Salazar,27.10.1965
Demetrios Velouis,
Ismo Tapio Toukonen,25.04.1954
Kharilaos Giannakas,
Gabriel Reymond,15.04.1923
Lynne Macdougall,18.02.1965
Daniel Kinsey,22.01.1902
Yevgeni Gavrilenko,05.04.1951
Toma Dvorak,11.05.1972
Michael Tinsley,21.04.1984
Musa Amer,18.04.1985
Fedir Laukhin,13.02.1974
Kamila Skolimowska,04.11.1982
Meiju Li,03.10.1979
Martyn Rooney,03.04.1987
Ingra Manecke,31.03.1956
Demetrius Pinder,13.02.1989
George Kerr,16.10.1937
Jeffrey Patrick Atkinson,24.02.1963
Valentina Enaki,15.02.1966
Derek Owen Froude,20.04.1959
David Kimutai Rotich,19.08.1969
Pedro Curiel,01.01.1902
Ragnar Torsten Lundberg,22.09.1924
Ser Od Bat Ochir,07.10.1981
Thomas Lieb,28.10.1899
Bo Gustafsson,29.09.1954
Enrique Kistenmacher,08.04.1923
Fatima Whitbread,03.03.1961
James Duncan,25.09.1887
James Allen Gordon,27.12.1908
David Neville,01.06.1984
Faustine Mussa,02.04.1981
Clifford Furnas,
Yared Shegumo,10.01.1983
Jose Carlos Herrera,05.02.1986
Inna Sayenko,08.03.1982
Miguelina Cobian,19.12.1941
Derrick Atkins,05.01.1984
Ignacio Alberto Cuba Carrero,31.07.1962
Gezahegne Abera,23.04.1978
Sergej Zaikov,23.09.1987
Young Cho Hwang,22.03.1970
Zenon Nowosz,06.02.1944
Yamile Aldama,14.08.1972
Liliya Nurutdinova,20.09.1963
Stanley F Jones,26.12.1914
James Butts,09.05.1950
Panayiota Vlahaki,03.04.1991
Maria Mutola,27.10.1972
Vaino Rainio,30.04.1896
Alberto Garcia 1,22.02.1971
Natalya Asanova,29.11.1989
Andres Espinosa,04.02.1963
Michel Theato,22.03.1878
Anita Otto,12.12.1942
David Freeman,28.04.1982
Raul Machacuay,18.02.1983
Josef Jansky,24.11.1940
Heitor Medina,
Andy Boychuk,17.05.1941
Rui Pedro Silva,06.05.1981
Kum Song Ri,23.05.1980
Romana Dubnova,04.11.1978
Bianca Razor,08.08.1994
Joseph Patrick Faust,21.09.1942
Anastasia Ott,07.09.1988
Erich Ahrendt,29.07.1933
Zohar Zemiro,15.06.1977
Liemarvin Bonevacia,05.04.1989
Felix Kikwai Kibore,18.02.1988
Guillermo Orozco,31.01.1958
Mihaela Maria Prundus,21.11.1976
Ibrahima Maiga,14.03.1979
Kalliopi Ouzouni,08.02.1973
Ivan Banzeruk,09.02.1990
Nataliya Tobias,22.11.1980
Brian Adams,13.03.1949
Lecabela Quaresma,26.12.1989
Kazimir Verkin,27.03.1972
Sally Barsosio,21.03.1978
Andriy Kovenko,25.11.1973
Kim Hagger,02.12.1961
Waldemar Cotelo,12.03.1964
William Richard Olson,19.07.1958
Margaret J Birtwistle,26.07.1925
Bente Moe,02.12.1960
Judi Anne St Hilaire,05.09.1959
Waldemar Cierpinski,03.08.1950
Zoltan Cziffra,01.11.1942
Olavi Reikko,10.01.1927
Wilhelm William Gruner 1,
Alexandros Chalkokondylis,
Nobuyuki Sato,08.08.1972
Edgar Itt,08.06.1967
Shericka Jackson,16.07.1994
Dazhen Zheng,22.09.1959
Margaret Bailes,23.01.1951
Jose Luiz Barbosa,27.05.1961
Aleksander Tammert,02.02.1973
Dixon Boardman,26.03.1880
Knut Kvalheim,14.06.1950
Lance Brooks,01.01.1984
Vincent Ruguga,12.12.1959
Anna Avdeeva,06.04.1985
Dickson Marwa Mkami,09.03.1982
Roine Karlsson,12.11.1943
Mandeep Kaur,19.04.1988
Helan Li,02.01.1978
Stefan Fernholm,02.07.1959
Yelena Nikolayevna Kuznetsova,04.08.1977
Nam Kyun Chung,23.10.1978
Bong Ju Lee,11.10.1970
Sandor Noszaly,08.03.1940
Inga Abitova,06.03.1982
Brent Larue,26.04.1987
Svetlana Tkach Shepeleva,10.05.1969
Per Erling Olsen,30.03.1958
Giovanni Evangelisti,11.09.1961
Baba Ibrahim Suma Keita,20.04.1947
Jose Leyver Ojeda,12.11.1985
Eva Maria Gradwohl,29.03.1973
Caroline Bonde Holm,19.07.1990
Laura Denise De Snoo,21.09.1962
Michael Wessing,29.08.1952
Martin Dent,08.02.1979
Paul Kipkemoi Chelimo,27.10.1990
Tero Pitkamaki,19.12.1982
Vania Stambolova,28.11.1983
Keturah Orji,05.03.1996
Bill Toomey,10.01.1939
James Jay Edward Luck,11.07.1940
Guilherme Cobbo,01.10.1987
Tommie Smith,06.06.1944
Arjun Basnet,03.12.1975
Falilat Ogunkoya,05.12.1968
Nadia Prasad,06.10.1967
Risto Antero Ankio,15.04.1937
Zsusza Nagy Szabo,16.01.1940
Cornelia Oschkenat,29.10.1961
Fletcher Lewis,16.07.1955
Chris Lloyd,10.10.1980
Hedges Worthington Eyre,
Kevin Young,16.09.1966
Imre Stankovics,27.02.1950
Friedrich Friedel Schirmer,20.03.1926
Funmilayo Jimoh,29.05.1984
Matthew Tegenkamp,19.01.1982
Elfi Zinn,24.08.1953
Chandra Sturrup,12.09.1971
Sergey Makarov,19.03.1973
Henry Dagmil,07.12.1981
Sara Ramadhani,30.12.1987
Helge Jansson,01.06.1904
Zbigniew Radziwonowicz,08.12.1930
Halima Hachlaf,06.09.1988
Burcu Ayhan,03.05.1990
Arthur Duffey,14.06.1879
Chun Son Koh,22.03.1952
Sviatlana Siarova,21.08.1986
Mauro Barella,12.12.1956
George Horine,03.02.1890
Carlo Grippo,08.01.1955
Esteban Valle,05.09.1942
Geisa Arcanjo,19.09.1991
Richard Hooper,26.08.1956
Jorge Gonzalez 1,20.12.1952
Christian Schenk,09.02.1965
Oleksandr Bagach,21.11.1966
Dire Tune,19.06.1985
Tia Hellebaut,16.02.1978
Zuzana Hlavonova,16.04.1973
Al Oerter,19.09.1936
Ed Eyestone,15.06.1961
Jennifer Meadows,17.04.1981
Ababacar Ly,
Satoshi Yanagisawa,19.01.1971
Baraah Awadallah,21.12.1991
Gabriela Szabo,14.11.1975
Darya Pishchalnikova,19.07.1985
Istvan Bagyula,02.01.1969
Christania Williams,17.10.1994
Martin Stephen Engel,25.01.1932
Mohamed Hadheb Hannachi,
Jesus Herrera,22.03.1962
Maritza Marten,17.08.1963
Vasileios Papadimitriou,20.05.1948
Ladislav Moc,17.09.1931
Jae Ryong Kim,25.04.1966
Giacomo Crosa,11.01.1947
Jackson Quinonez,12.06.1980
Nicole Ramalalanirina,05.03.1972
Shuichi Yoneshige,24.06.1961
Frances Lee Lermond,15.04.1906
Fredrick Meadows,01.01.1882
Melvin Jr Pender,31.10.1937
Gheorghe Megelea,14.03.1954
Richard Earl Johnson,10.03.1891
Charles Bennett,28.12.1870
Danijel Furtula,31.07.1992
Matyas Farkas 1,13.08.1893
Veli Matti Partanen,28.10.1991
Yelena Nikolayeva,01.02.1966
Montell Douglas,24.01.1986
Damien Birkinhead,08.04.1993
Oleg Strizhakov,18.07.1963
Renjith Maheshwary,30.01.1986
Igor Tugay,22.03.1975
Trond Skramstad,06.12.1960
Ismail Sghyr,16.03.1972
Riitta Liisa Salin Hagman,16.10.1950
Risa Shigetomo,29.08.1987
Olga Turchak,05.03.1967
Piotr Lisek,16.08.1992
Norman Anderson,17.03.1902
Tabia Charles,06.04.1985
Samu Fothi,06.11.1884
Nicolae Alexandru Soare,20.09.1991
Teklemariam Medhin,24.06.1989
Eleutherios Papasimeon,
Kaarlo Jalmari Tuominen,09.02.1908
Niklas Wallenlind,21.11.1968
Gunhild Larking,13.01.1936
Kerry O Brien,17.04.1946
Mariela Gonzalez,05.04.1974
Dejene Berhanu,12.12.1980
Edwin Cheruiyot Soi,03.03.1986
Jagmal Ragho,20.03.1923
Gunnar Fredriksen,28.02.1907
Christin Hussong 1,17.03.1994
Indrek Turi,30.07.1981
Attila Horvath,28.07.1967
Lee Merrien,26.04.1979
Wanda Dos Santos,01.06.1932
Debbie Ferguson Mckenzie,16.01.1976
Jim Hines,10.09.1946
Holly Bleasdale,02.11.1991
Audrey Patterson,27.09.1926
Timothy Hutchings,04.12.1958
Henry Sherard Osb Ashington,25.02.1891
Veronique Marot,16.09.1955
Meritzer Williams,01.01.1989
Robert Peter Hughes,27.10.1947
Alawi Altahir,
Dana Ingrova Zatopkova,19.09.1922
Walter Van Renterghem,26.03.1944
Ary Facanha De Sa,01.04.1928
Viktoria Madarasz,12.05.1985
Kwaku Boateng,30.06.1974
Stefan Malik,11.02.1966
Charles Melis,
Jeffrey Riseley,11.11.1986
Abraham Chepkirwok,18.11.1988
Alejandra Ortega,08.07.1994
Mohammed Abduh Bakhet,25.12.1987
Georgina Toth,10.03.1982
Inna Poluskina,07.07.1984
Siegrid Heimann,25.07.1958
Said Belhout,16.04.1975
Roman Kejzar,11.02.1966
Marc Davis,17.12.1969
Gustavo Gutierrez 1,26.09.1939
Jack T Price,30.11.1883
Abdoulaye Seye,30.07.1934
Zephania Noube,10.01.1957
Hristos Meletoglou,02.01.1972
Derek Drouin,06.03.1990
Akihiko Koike,10.04.1973
Anna Jagaciak,10.02.1990
Dominik Distelberger,16.03.1990
George Kitchens,30.01.1983
Patrick Flynn,17.12.1894
Abraham Kiplimo,14.04.1989
Lucia Kimani,21.06.1980
Samuel Harrison Francis,26.10.1913
Martin Tistan,12.11.1992
Halil Ziraman,30.11.1926
Werknesh Kidane,21.11.1981
Bedan Karoki Muchiri,21.08.1990
Rolf Hansen,09.10.1906
Gunther Lohre,12.05.1953
Lyudmyla Kovalenko,26.06.1989
Julius Kariuki,12.06.1961
Quincy Watts,19.06.1970
Iris Fuentes Pila,10.08.1980
Suehiro Ishikawa,27.09.1979
Christine Wachtel,06.01.1965
Albina Ivanova,16.05.1977
Eugeniusz Biskupski,17.12.1947
Philippe D Encausse,24.03.1967
Yana Maksimava,09.01.1989
Hazel Clark Riley,03.10.1977
Vitaliy Smirnov,25.10.1978
Dieudonne Disi,24.04.1979
Lanni Marchant,11.04.1984
Michael East,20.01.1978
Vivian Chukwuemeka,04.05.1975
Ricardo Joseph Taitano,
Lesyani Mayor,08.07.1979
Simon Tsotang Maine,10.08.1974
Svetlana Shkolina,09.03.1986
Robert Howard,26.11.1975
Claude Arthur Allen,
Stig Andersson 1,
Niculina Vasile,13.02.1958
Judith Lilian Canty,05.10.1931
Willi Welscher,01.08.1906
Orlando Bianchini,04.06.1955
Robert Kempainen,18.06.1966
Frederick William Faller,30.07.1895
Veronika Shutkova,26.05.1986
Helena Javornik,26.03.1966
John Kibowen,21.04.1969
Johan Fritiof Svanberg,01.05.1881
Simon Vroemen,11.05.1969
Vladimir Milic,23.10.1955
Renato Martini,12.11.1949
Thomas Pkemei Longosiwa,14.05.1988
Filbert Bayi,23.06.1953
Gyula Strausz,
John Ainsworth Davis,23.04.1895
Lee Marion Bartlett,30.03.1907
Zakia Mrisho Mohamed,19.02.1976
Yury Voronkin,18.05.1979
Godelieve Slegers,06.04.1965
Nelly Wright,17.12.1945
Duane Solomon,28.12.1984
Lyudmila Gubkina,28.05.1972
Brendan Foster,12.01.1948
Maksim Lynsha,06.04.1985
Aki Heikkinen,24.02.1980
Jenna Martin,31.03.1988
Stefania Simova,03.06.1963
Lisa Ondieki,12.05.1960
Salhate Djamalidine,23.12.1978
Adolfo Clouthier,
Vyacheslav Skomorokhov,04.10.1940
Hans Frischknecht,31.12.1922
Tatyana Shchelkanova,18.04.1937
Lyudmila Borisova,03.03.1966
Antonio Abadia,02.07.1990
Philip Bruce Embleton,20.12.1948
Egle Uljas,18.12.1984
Christopher Linke,24.10.1988
Joan Lino Martinez,17.01.1978
Patrick Mutuku Ivuti,30.06.1978
Layes Abdullayeva,29.05.1991
Valeri Podluzhnyi,22.08.1952
Marie Davenport,24.01.1975
Polina Jelizarova,01.05.1989
Bernd Kannenberg,20.08.1942
Iolanda Balas,12.12.1936
Eriko Asai,20.10.1959
Staffan Strand,18.04.1976
Jonny Danielson,04.09.1964
Sheila Lerwill,16.08.1928
Dick Grant,03.08.1878
Kristjan Johannsson,10.12.1929
F Van De Putte,
Clifford Clyde Coffman,02.06.1911
Skotte Jacobsson,24.02.1888
Nouba Khaleb,11.12.1905
Olga Bryzgina,30.06.1963
Christian Christensen,06.08.1876
Alphonce Felix Simbu,14.02.1992
Jack Metcalfe,03.02.1912
James Beckford,09.01.1975
Nabil Mohammed Al Garbi,03.11.1993
Franklin Nazareno,24.04.1987
Sarah Lynn Wells,10.11.1989
Dean Smith,15.01.1932
Pius Munyasia,06.07.1960
Frederick Moloney,04.08.1880
Larisa Khmelnitskaya,23.09.1971
Viktoras Meskauskas,04.11.1970
Ronald Crawford,26.03.1936
Aki Jarvinen,19.09.1905
Anne Audain,01.11.1955
Yury Bialou,20.03.1981
William David Schmidt,29.12.1947
Rodolfo Gomez,30.10.1950
Luise Kruger,11.01.1915
Torfi Bryngeirsson,11.11.1926
Andrei Barabas,09.12.1937
Tadeusz Krzyzanowski,29.08.1920
Angela Whyte,22.05.1980
Thabiso Ralekhetla,03.03.1960
Ese Brume,20.01.1996
Sadashir Datar,
Jacob Kiplimo,14.11.2000
Xiujuan Ren,14.09.1974
Erick Batte,10.12.1974
Mohamed Bouhalla,25.07.1963
Lutz Dombrowski,25.06.1959
Margaret Maury,15.05.1974
Alia Saeed Mohammed,13.11.1993
Nafiu Belo Osagie,01.04.1933
Valery Pisarev,30.06.1979
Mert Atli,23.07.1993
Zhuhong Li,22.10.1983
Jenny Spangler,20.07.1963
Oyvind Dahl,12.05.1951
Hanna Skydan,14.05.1992
Simon Baker,06.02.1958
Gunnar Bolander,20.07.1889
Dimitrios Chondrokoukis 1,26.01.1988
Lidia Alfeeva,17.01.1946
Arne Hammarsland,24.07.1933
Rocio Rios,13.03.1969
Yordanka Blagoeva Dimitrova,19.01.1947
Dick Fosbury,06.03.1947
Erika Olivera,04.01.1976
Evert Nilsson,22.10.1894
Maurice Wignall,17.04.1976
Wijnand Van Beveren,28.12.1911
Samuel Hlawe,21.07.1952
Marcel Versteeg,20.08.1965
Thaddeus Mcclain,10.09.1876
Liesel Westermann,02.11.1944
Viktor Olsen,05.02.1924
Oluyemi Kayode,07.07.1968
Noemi Simonetto De Portela,01.02.1926
Naomi Mae Rogers,12.07.1940
Javier Gazol,27.10.1980
Nguyen Van Thuyet,10.01.1956
Helen Frith,12.07.1939
Yuri Sedykh,11.06.1955
Maria Guadalupe Sanchez 1,04.08.1995
Robert Ouko,24.10.1948
Jean Louis Prianon,22.02.1960
Miodrag Todosijevic,14.09.1941
Joussef Nagui Assad,
Lorraine Fenton,08.09.1973
Judit Bognar Lendvai,28.01.1939
Xue Bai,15.12.1988
Janeene Vickers,03.12.1968
Samuel Igun,28.02.1938
Wihelm Arnt Blijstad,15.09.1881
Patrick Tuara,22.03.1993
Manfred Bock,28.05.1941
Ryan Bailey 1,13.04.1989
Henri Tauzin,30.11.1877
Vaclav Cevona,24.05.1922
Lidia Simon,04.09.1973
Andres Raja,02.06.1982
Leslie Morton,01.07.1958
Svetlana Krivelyova,13.06.1969
Viorica Viscopoleanu,08.08.1939
Anton Kucmin,06.07.1984
Oksana Udmurtova,01.02.1982
Monica Equihua,23.09.1982
Robert Kronberg,15.08.1976
Jill Hunter,14.10.1966
Yves Le Roy,23.02.1951
Anastasija Reiberger,19.09.1977
Lucie Skrobakova,04.01.1982
Moulay Brahim Boutayeb,15.08.1967
Robert Stefko 1,28.05.1968
Ivana Brkljacic,25.01.1983
Xinmei Sui,29.01.1965
Jill Ross Giffen,23.02.1958
Gebhard Buchel,
Ajayi Agbebaku,12.06.1955
Charles Thomas Clibbon,03.02.1895
Kim Tai Koo,
Felicea Moldovan Tilea,29.09.1967
Christine Clark,10.10.1962
Alfonso Orlando,17.05.1892
Mike Buncic,25.07.1962
Olesya Povh,18.10.1987
Gertrud Schmidt,18.07.1942
Klaus Ambrosch,23.05.1973
Philip John Vesty,05.01.1963
Miranda Melville,20.03.1989
Anna Bulgakova,17.01.1988
Wayde Van Niekerk,15.07.1992
Geoffrey Harris,30.01.1987
Dietmar Mogenburg,15.08.1961
Olena Krasovska,17.08.1976
Maria Abel,23.10.1974
Kevin Borlee,22.02.1988
Kathryn Smallwood Cook,03.05.1960
Shawnacy Barber,27.05.1994
Francois Celis,
Aleksey Voyevodin,09.08.1970
Carmen De Oliveira,17.08.1965
Sylwia Korzeniowska,25.04.1980
Yuliya Nestsiarenka,15.06.1979
Lennart Hedmark,18.05.1944
Andrey Petrov,13.10.1986
Olena Antonova,16.06.1972
Georgi Fedorov,30.11.1925
Matija Kranjc,12.06.1984
Luigi Facelli,10.05.1898
Lilli Schwarzkopf,28.08.1983
Victor Aravena,05.02.1990
Istvan Gori,04.06.1938
Mauno Asarias Tarkiainen,18.08.1904
Abdi Nageeye,02.03.1989
Irina Stankina,25.03.1977
Riaan Botha,08.11.1970
Nikolai Redkin,10.06.1928
Colleen De Reuck,13.04.1964
Cephas Matafi,24.05.1971
Valentina Kozyr,25.04.1950
Dong Young Kim,06.03.1980
Melanie Seeger,08.01.1977
Nikolay Karasev,29.11.1939
Guinn Smith,02.05.1920
Galina Zybina,22.01.1931
Helmuth Bonnet,17.07.1910
Ernesto Andres Zamora,13.04.1983
Wilson Achia,18.06.1959
Dominic Johnson,31.10.1975
Stanislav Melnykov,26.02.1987
Ilie Popa,09.05.1940
Bruna Genovese,24.09.1976
Christian Taylor,18.06.1990
Georges Verger,01.01.1896
Claudinei Da Silva,19.11.1970
Yomara Hinestroza,20.05.1988
